# Maximum absolute error obtained after substitution of (v,E) in the eigenvector equation M(E)v=0
# Filename:           k1_l-1_b0.27_s0.9999/k1_l-1_b0.27_s0.9999_Check_Equations.txt
# Program version:    Spectral_2.0
# Started in:         Fri Jan 30 15:09:24 2026
# Digits used:        15
# ================================================================================
# (1) Energy Level	(2) Error
# ================================================================================
1	1.66023127269777784690e-12
2	1.37134748001699335873e-12
3	2.15849482689998376644e-12
4	3.33955085807247087359e-12
5	2.27373675443232059479e-12
6	4.16378043155418708920e-12
7	1.50635059981141239405e-12
8	1.49323592770270185959e-12
9	1.35857893945184882156e-12
10	1.20785109344878627269e-12
11	1.44950718095060437918e-12
12	9.09494701772928237915e-13
13	8.45545855554519221187e-13
14	1.36424205265939235687e-12
15	1.48129189578467823640e-12
16	1.32401988678365611918e-12
17	1.76214598468504846096e-12
18	1.79056769411545246840e-12
19	1.53477230924181640148e-12
20	1.53477230924181640148e-12
21	1.35986014115907494215e-12
22	1.29318777908338233829e-12
23	1.30029320644098334014e-12
24	1.72220918082111040803e-12
25	2.04636307898908853531e-12
26	2.83506551568279974163e-12
27	2.61479726759716868401e-12
28	2.27373675443232059479e-12
29	3.52429196937009692192e-12
30	6.52278231427771970630e-12
31	3.63797880709171295166e-12
32	2.64321897702757269144e-12
33	3.29691829392686486244e-12
34	3.02158298381982604042e-12
35	3.18323145620524883270e-12
36	2.95585778076201677322e-12
37	1.98596694644948001951e-12
38	3.06954461848363280296e-12
39	3.96660482238075928763e-12
40	3.35376171278767287731e-12
41	4.54747350886464118958e-12
42	3.46744855050928890705e-12
43	5.00222085975110530853e-12
44	4.02111677288985447376e-12
45	5.17275111633352935314e-12
46	3.97903932025656104088e-12
47	4.09272615797817707062e-12
48	4.32009983342140913010e-12
49	3.52429196937009692192e-12
50	5.22959453519433736801e-12
51	8.18545231595635414124e-12
52	4.88853402202948927879e-12
53	5.11590769747272133827e-12
54	5.03064256918150931597e-12
55	5.37170308234635740519e-12
56	4.32009983342140913010e-12
57	3.77298192688613198698e-12
58	6.59383658785372972488e-12
59	8.07176547823473811150e-12
60	6.36646291241049766541e-12
61	8.41282599139958620071e-12
62	6.48014975013211369514e-12
63	5.00222085975110530853e-12
64	6.36646291241049766541e-12
65	6.82121026329696178436e-12
66	7.21911419532261788845e-12
67	7.95807864051312208176e-12
68	7.04858393874019384384e-12
69	6.62225829728413373232e-12
70	7.50333128962665796280e-12
71	7.84439180279150605202e-12
72	7.73070496506989002228e-12
73	1.27329258248209953308e-11
74	1.09139364212751388550e-11
75	8.64019966684281826019e-12
76	6.84963197272736579180e-12
77	7.73070496506989002228e-12
78	1.09139364212751388550e-11
79	9.09494701772928237915e-12
80	6.93489710101857781410e-12
81	1.00044417195022106171e-11
82	1.17097442853264510632e-11
83	1.61435309564694762230e-11
84	1.42676981340628117323e-11
85	1.86446413863450288773e-11
86	1.47792889038100838661e-11
87	1.30171429191250354052e-11
88	1.77067249751416966319e-11
89	2.45563569478690624237e-11
90	3.02406988339498639107e-11
91	3.27418092638254165649e-11
92	4.03588273911736905575e-11
93	6.59383658785372972488e-11
94	4.74074113299138844013e-11
95	6.73026079311966896057e-11
96	7.00310920365154743195e-11
97	1.04591890703886747360e-10
98	1.11867848318070173264e-10
99	1.52112988871522247791e-10
100	6.06632966082543134689e-10
