# Checking deviation from normality of eigenvectors (dot product).
# Filename:           k1_l-1_b0.27_s0.9999/k1_l-1_b0.27_s0.9999_Check_Normality.txt
# Program version:    Spectral_2.0
# Started in:         Fri Jan 30 15:09:24 2026
# Digits used:        15
# ================================================================================
# (1) Energy Level	(2) Error
# ================================================================================
1	1.11022302462515654042e-16
2	4.44089209850062616169e-16
3	4.44089209850062616169e-16
4	4.44089209850062616169e-16
5	2.22044604925031308085e-16
6	3.33066907387546962127e-16
7	2.22044604925031308085e-16
8	4.44089209850062616169e-16
9	2.22044604925031308085e-16
10	0.00000000000000000000e+00
11	4.44089209850062616169e-16
12	2.22044604925031308085e-16
13	1.11022302462515654042e-16
14	0.00000000000000000000e+00
15	0.00000000000000000000e+00
16	2.22044604925031308085e-16
17	2.22044604925031308085e-16
18	2.22044604925031308085e-16
19	3.33066907387546962127e-16
20	1.11022302462515654042e-16
21	4.44089209850062616169e-16
22	3.33066907387546962127e-16
23	2.22044604925031308085e-16
24	0.00000000000000000000e+00
25	2.22044604925031308085e-16
26	2.22044604925031308085e-16
27	1.11022302462515654042e-16
28	4.44089209850062616169e-16
29	2.22044604925031308085e-16
30	0.00000000000000000000e+00
31	0.00000000000000000000e+00
32	0.00000000000000000000e+00
33	1.11022302462515654042e-16
34	0.00000000000000000000e+00
35	2.22044604925031308085e-16
36	2.22044604925031308085e-16
37	0.00000000000000000000e+00
38	1.11022302462515654042e-16
39	0.00000000000000000000e+00
40	1.11022302462515654042e-16
41	0.00000000000000000000e+00
42	0.00000000000000000000e+00
43	2.22044604925031308085e-16
44	2.22044604925031308085e-16
45	1.11022302462515654042e-16
46	2.22044604925031308085e-16
47	0.00000000000000000000e+00
48	2.22044604925031308085e-16
49	0.00000000000000000000e+00
50	4.44089209850062616169e-16
51	2.22044604925031308085e-16
52	1.11022302462515654042e-16
53	0.00000000000000000000e+00
54	0.00000000000000000000e+00
55	2.22044604925031308085e-16
56	0.00000000000000000000e+00
57	0.00000000000000000000e+00
58	1.11022302462515654042e-16
59	0.00000000000000000000e+00
60	0.00000000000000000000e+00
61	0.00000000000000000000e+00
62	1.11022302462515654042e-16
63	1.11022302462515654042e-16
64	2.22044604925031308085e-16
65	2.22044604925031308085e-16
66	2.22044604925031308085e-16
67	1.11022302462515654042e-16
68	0.00000000000000000000e+00
69	0.00000000000000000000e+00
70	0.00000000000000000000e+00
71	0.00000000000000000000e+00
72	2.22044604925031308085e-16
73	0.00000000000000000000e+00
74	0.00000000000000000000e+00
75	0.00000000000000000000e+00
76	0.00000000000000000000e+00
77	0.00000000000000000000e+00
78	0.00000000000000000000e+00
79	2.22044604925031308085e-16
80	2.22044604925031308085e-16
81	0.00000000000000000000e+00
82	0.00000000000000000000e+00
83	0.00000000000000000000e+00
84	0.00000000000000000000e+00
85	0.00000000000000000000e+00
86	0.00000000000000000000e+00
87	2.22044604925031308085e-16
88	0.00000000000000000000e+00
89	2.22044604925031308085e-16
90	0.00000000000000000000e+00
91	0.00000000000000000000e+00
92	0.00000000000000000000e+00
93	1.11022302462515654042e-16
94	4.44089209850062616169e-16
95	0.00000000000000000000e+00
96	1.11022302462515654042e-16
97	2.22044604925031308085e-16
98	4.44089209850062616169e-16
99	2.22044604925031308085e-16
100	0.00000000000000000000e+00
