# Checking deviation from orthogonality of eigenvectors (dot product).
# Filename:           k1_l-1_b0.27_s0.9999/k1_l-1_b0.27_s0.9999_Check_Orthogonality.txt
# Program version:    Spectral_2.0
# Started in:         Fri Jan 30 15:09:24 2026
# Digits used:        15
# ================================================================================
# Level i,	Level j,	Error
# ================================================================================
1	2	3.21964677141295396723e-14
1	3	-1.11022302462515654042e-15
1	4	-1.58206781009084807010e-15
1	5	1.45716771982051795931e-15
1	6	8.29197821516913791129e-16
1	7	1.52655665885959024308e-16
1	8	7.88431819831458824410e-16
1	9	4.38017677684143791339e-16
1	10	3.48679418671338225977e-16
1	11	4.98082478039840736983e-16
1	12	-1.44524149592317741053e-16
1	13	3.26995375221628137297e-16
1	14	-3.98877979257417081271e-16
1	15	3.00974523081976030880e-16
1	16	-1.13190706807486662910e-16
1	17	1.59811400224363353573e-16
1	18	4.33680868994201773603e-17
1	19	2.61075883134509467709e-16
1	20	2.44596010112729800312e-16
1	21	2.52402265754625432237e-16
1	22	1.07552855510562039854e-16
1	23	1.93421667571413991027e-16
1	24	8.32667268468867405318e-17
1	25	-4.33680868994201773603e-18
1	26	-1.14491749414469268231e-16
1	27	1.27502175484295321439e-16
1	28	9.80118763926896008343e-17
1	29	5.20417042793042128324e-18
1	30	3.87710696880816385601e-16
1	31	1.89952220619460376838e-16
1	32	2.26381413614973325821e-16
1	33	2.15105711021124079707e-16
1	34	1.70436581514721297026e-15
1	35	1.12063136548101738299e-15
1	36	-1.90819582357448780385e-16
1	37	6.39245600897453414291e-16
1	38	2.09034178855205254877e-16
1	39	3.81639164714897560771e-17
1	40	1.91686944095437183933e-16
1	41	5.75060832286311551798e-16
1	42	4.39752401160120598433e-16
1	43	-5.12610787151146496399e-16
1	44	-9.54097911787243901927e-18
1	45	5.23452808876001540739e-16
1	46	3.10515502199848469900e-16
1	47	5.60315682740508691495e-16
1	48	5.91540705308091219194e-16
1	49	7.24247051220316961917e-17
1	50	-2.72785266597352915596e-16
1	51	-2.43728648374741396765e-16
1	52	1.30537941567254733854e-16
1	53	8.37004077158809423054e-17
1	54	-1.47451495458028603025e-16
1	55	-2.57606436182555853520e-16
1	56	9.80118763926896008343e-17
1	57	-5.63785129692462305684e-18
1	58	-2.57172755313561651747e-16
1	59	-3.07479736116889057485e-16
1	60	1.73472347597680709441e-16
1	61	-1.00180280737660609702e-16
1	62	4.81385764583563968699e-17
1	63	-1.64798730217796673969e-17
1	64	-3.53883589099268647260e-16
1	65	-1.89084858881471973291e-16
1	66	-1.56125112837912638497e-16
1	67	-4.26741975090294545225e-16
1	68	-3.90746462963775798016e-16
1	69	-5.29090660172926163796e-17
1	70	-2.94252469612565903390e-16
1	71	1.21430643318376496609e-17
1	72	1.45066250678560493270e-16
1	73	-4.20236762055381518621e-16
1	74	-8.84708972748171618150e-17
1	75	-2.28549817959944334689e-16
1	76	-1.85181731060524157328e-16
1	77	-4.09828421199520676055e-16
1	78	-3.97251675998688824620e-16
1	79	-1.15792792021451873552e-16
1	80	-3.68628738645071507563e-16
1	81	-2.32886626649886352425e-16
1	82	-2.85362011798184767031e-16
1	83	-2.73218947466347117370e-16
1	84	-2.60208521396521064162e-17
1	85	-2.46764414457700809180e-16
1	86	-1.07336015076064938967e-16
1	87	-1.54173548927438730516e-16
1	88	6.63531729561128713613e-17
1	89	-5.42101086242752217004e-18
1	90	-5.76361874893294157118e-16
1	91	-4.70977423727703126133e-16
1	92	-2.22478285794025509858e-16
1	93	-1.52005144582467721648e-16
1	94	7.00394603425635864369e-17
1	95	-5.26922255827955154928e-17
1	96	-2.48065457064683414501e-16
1	97	-3.74266589941996130619e-16
1	98	-3.97685356867683026394e-16
1	99	2.42427605767758791444e-16
1	100	6.50521303491302660404e-17
2	3	5.73985303731205931399e-14
2	4	2.96984659087229374563e-15
2	5	2.04003480774872514303e-15
2	6	2.33840724561673596327e-15
2	7	-1.68615121864945649577e-15
2	8	6.92154666914746030670e-16
2	9	-1.22644949751560261575e-15
2	10	-6.29704621779580975272e-16
2	11	-1.05601291600088131872e-15
2	12	2.17490955800592189462e-16
2	13	1.01481323344643215023e-16
2	14	1.02261948908832778216e-15
2	15	-5.41233724504763813457e-16
2	16	8.41340885848751440790e-16
2	17	4.22838847269346729263e-17
2	18	3.46944695195361418882e-17
2	19	1.34441069388202549817e-16
2	20	8.67361737988403547206e-18
2	21	-1.85615411929518359102e-16
2	22	-4.92661467177413214813e-16
2	23	-4.56232274181900265830e-16
2	24	-3.15719672627778891183e-16
2	25	-1.12757025938492461137e-16
2	26	-4.52762827229946651642e-16
2	27	-2.53269627492613835784e-16
2	28	-7.12971348626467715803e-16
2	29	-7.23379689482328558370e-16
2	30	-6.50521303491302660404e-16
2	31	-7.19910242530374944181e-16
2	32	-5.91540705308091219194e-16
2	33	-3.10515502199848469900e-16
2	34	-8.88178419700125232339e-16
2	35	-3.27862736959616540844e-16
2	36	-2.15105711021124079707e-16
2	37	3.19189119579732505372e-16
2	38	1.23512311489548665122e-15
2	39	5.81132364452230376628e-16
2	40	-8.84708972748171618150e-17
2	41	2.42861286636752993218e-17
2	42	1.61329283265843059780e-16
2	43	-4.18935719448398913300e-16
2	44	-4.51028103753969844547e-16
2	45	-3.29597460435593347938e-17
2	46	1.73472347597680709441e-18
2	47	2.38524477946810975482e-16
2	48	3.20056481317720908919e-16
2	49	-6.33174068731534589460e-17
2	50	1.95156391047390798121e-16
2	51	2.94035629178068802503e-16
2	52	1.12757025938492461137e-17
2	53	2.68014777038416696087e-16
2	54	1.78676518025611130724e-16
2	55	1.82145964977564744913e-17
2	56	1.33573707650214146270e-16
2	57	2.46330733588706607406e-16
2	58	7.80625564189563192485e-17
2	59	3.20056481317720908919e-16
2	60	3.64291929955129489827e-17
2	61	4.68375338513737915491e-17
2	62	-1.33573707650214146270e-16
2	63	2.16840434497100886801e-16
2	64	1.24900090270330110798e-16
2	65	3.72965547335013525299e-17
2	66	5.20417042793042128324e-18
2	67	2.31151903173909545330e-16
2	68	3.59955121265187472090e-17
2	69	-2.34187669256868957746e-17
2	70	2.73218947466347117370e-17
2	71	2.29850860566926940010e-17
2	72	-5.85469173142172394364e-17
2	73	2.00794242344315421178e-16
2	74	-5.76795555762288358892e-17
2	75	9.54097911787243901927e-18
2	76	-1.81278603239576341366e-16
2	77	-1.43114686768086585289e-16
2	78	-7.45931094670027050597e-17
2	79	1.89084858881471973291e-16
2	80	-1.78676518025611130724e-16
2	81	-1.13624387676480864684e-16
2	82	-4.46691295064027826811e-17
2	83	-4.85722573273505986435e-17
2	84	-1.75207071073657516536e-16
2	85	8.41340885848751440790e-17
2	86	-1.65232411086790875743e-16
2	87	1.17093834628434478873e-17
2	88	1.34441069388202549817e-17
2	89	-2.11636264069170465518e-16
2	90	-3.03576608295941241522e-18
2	91	-3.42607886505419401146e-17
2	92	-7.28583859910258979653e-17
2	93	-8.19656842399041352110e-17
2	94	9.06393016197881706830e-17
2	95	2.16840434497100886801e-18
2	96	-5.07406616723216075115e-17
2	97	-1.03216046820620022118e-16
2	98	3.46944695195361418882e-18
